fold,corpus,original_split,role,uid,filepath,filename,stem,dataset,language,speech_style,corpus_type,emotion_original,emotion,label,speaker,speaker_original,gender,source_split,dialog_context,dialog_emoA,dialog_emoB,is_augmented,ravdess_modality,ravdess_vocal_channel,ravdess_emotion_code,ravdess_intensity,ravdess_statement,ravdess_repetition,ravdess_actor,resd_utt_id,file_exists,split,original_n_samples,target_n_samples,original_duration_sec,target_duration_sec,was_cropped,was_padded,crop_start_sample,crop_end_sample,cropped_samples,padded_samples,cropped_seconds,padded_seconds,padding_mode
heldout_emodb,ravdess,train,source_train,utt_000850,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-01-01-04.wav,03-01-01-01-01-01-04.wav,03-01-01-01-01-01-04,ravdess,english,monologue,acted_controlled,neutral,neutral,4,4,4,female,all,monologue,neutral,neutral,False,3.0,1.0,1.0,1.0,1.0,1.0,4.0,,True,train,52853,64000,3.3033125,4.0,False,True,0,52853,0,11147,0.0,0.6966875,reflect
heldout_emodb,ravdess,train,source_train,utt_000851,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-01-02-04.wav,03-01-01-01-01-02-04.wav,03-01-01-01-01-02-04,ravdess,english,monologue,acted_controlled,neutral,neutral,4,4,4,female,all,monologue,neutral,neutral,False,3.0,1.0,1.0,1.0,1.0,2.0,4.0,,True,train,53921,64000,3.3700625,4.0,False,True,0,53921,0,10079,0.0,0.6299375,reflect
heldout_emodb,ravdess,train,source_train,utt_000852,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-02-01-04.wav,03-01-01-01-02-01-04.wav,03-01-01-01-02-01-04,ravdess,english,monologue,acted_controlled,neutral,neutral,4,4,4,female,all,monologue,neutral,neutral,False,3.0,1.0,1.0,1.0,2.0,1.0,4.0,,True,train,52319,64000,3.2699375,4.0,False,True,0,52319,0,11681,0.0,0.7300625,reflect
heldout_emodb,ravdess,train,source_train,utt_000853,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-02-02-04.wav,03-01-01-01-02-02-04.wav,03-01-01-01-02-02-04,ravdess,english,monologue,acted_controlled,neutral,neutral,4,4,4,female,all,monologue,neutral,neutral,False,3.0,1.0,1.0,1.0,2.0,2.0,4.0,,True,train,51785,64000,3.2365625,4.0,False,True,0,51785,0,12215,0.0,0.7634375,reflect
heldout_emodb,ravdess,train,source_train,utt_000854,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-01-01-04.wav,03-01-03-01-01-01-04.wav,03-01-03-01-01-01-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,1.0,1.0,1.0,4.0,,True,train,56056,64000,3.5035,4.0,False,True,0,56056,0,7944,0.0,0.4965,reflect
heldout_emodb,ravdess,train,source_train,utt_000855,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-01-02-04.wav,03-01-03-01-01-02-04.wav,03-01-03-01-01-02-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,1.0,1.0,2.0,4.0,,True,train,56590,64000,3.536875,4.0,False,True,0,56590,0,7410,0.0,0.463125,reflect
heldout_emodb,ravdess,train,source_train,utt_000856,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-02-01-04.wav,03-01-03-01-02-01-04.wav,03-01-03-01-02-01-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,1.0,2.0,1.0,4.0,,True,train,56056,64000,3.5035,4.0,False,True,0,56056,0,7944,0.0,0.4965,reflect
heldout_emodb,ravdess,train,source_train,utt_000857,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-02-02-04.wav,03-01-03-01-02-02-04.wav,03-01-03-01-02-02-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,1.0,2.0,2.0,4.0,,True,train,54989,64000,3.4368125,4.0,False,True,0,54989,0,9011,0.0,0.5631875,reflect
heldout_emodb,ravdess,train,source_train,utt_000858,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-02-01-01-04.wav,03-01-03-02-01-01-04.wav,03-01-03-02-01-01-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,2.0,1.0,1.0,4.0,,True,train,61929,64000,3.8705625,4.0,False,True,0,61929,0,2071,0.0,0.1294375,reflect
heldout_emodb,ravdess,train,source_train,utt_000859,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-02-01-02-04.wav,03-01-03-02-01-02-04.wav,03-01-03-02-01-02-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,2.0,1.0,2.0,4.0,,True,train,57124,64000,3.57025,4.0,False,True,0,57124,0,6876,0.0,0.42975,reflect
heldout_emodb,ravdess,train,source_train,utt_000860,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-02-02-01-04.wav,03-01-03-02-02-01-04.wav,03-01-03-02-02-01-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,2.0,2.0,1.0,4.0,,True,train,57658,64000,3.603625,4.0,False,True,0,57658,0,6342,0.0,0.396375,reflect
heldout_emodb,ravdess,train,source_train,utt_000861,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-02-02-02-04.wav,03-01-03-02-02-02-04.wav,03-01-03-02-02-02-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,2.0,2.0,2.0,4.0,,True,train,60327,64000,3.7704375,4.0,False,True,0,60327,0,3673,0.0,0.2295625,reflect
heldout_emodb,ravdess,train,source_train,utt_000862,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-04-01-01-01-04.wav,03-01-04-01-01-01-04.wav,03-01-04-01-01-01-04,ravdess,english,monologue,acted_controlled,sad,sad,5,4,4,female,all,monologue,sad,sad,False,3.0,1.0,4.0,1.0,1.0,1.0,4.0,,True,train,53921,64000,3.3700625,4.0,False,True,0,53921,0,10079,0.0,0.6299375,reflect
heldout_emodb,ravdess,train,source_train,utt_000863,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-04-01-01-02-04.wav,03-01-04-01-01-02-04.wav,03-01-04-01-01-02-04,ravdess,english,monologue,acted_controlled,sad,sad,5,4,4,female,all,monologue,sad,sad,False,3.0,1.0,4.0,1.0,1.0,2.0,4.0,,True,train,54455,64000,3.4034375,4.0,False,True,0,54455,0,9545,0.0,0.5965625,reflect
heldout_emodb,ravdess,train,source_train,utt_000864,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-04-01-02-01-04.wav,03-01-04-01-02-01-04.wav,03-01-04-01-02-01-04,ravdess,english,monologue,acted_controlled,sad,sad,5,4,4,female,all,monologue,sad,sad,False,3.0,1.0,4.0,1.0,2.0,1.0,4.0,,True,train,54989,64000,3.4368125,4.0,False,True,0,54989,0,9011,0.0,0.5631875,reflect
heldout_emodb,ravdess,train,source_train,utt_000865,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-04-01-02-02-04.wav,03-01-04-01-02-02-04.wav,03-01-04-01-02-02-04,ravdess,english,monologue,acted_controlled,sad,sad,5,4,4,female,all,monologue,sad,sad,False,3.0,1.0,4.0,1.0,2.0,2.0,4.0,,True,train,55522,64000,3.470125,4.0,False,True,0,55522,0,8478,0.0,0.529875,reflect
heldout_emodb,ravdess,train,source_train,utt_000866,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-04-02-01-01-04.wav,03-01-04-02-01-01-04.wav,03-01-04-02-01-01-04,ravdess,english,monologue,acted_controlled,sad,sad,5,4,4,female,all,monologue,sad,sad,False,3.0,1.0,4.0,2.0,1.0,1.0,4.0,,True,train,58726,64000,3.670375,4.0,False,True,0,58726,0,5274,0.0,0.329625,reflect
heldout_emodb,ravdess,train,source_train,utt_000867,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-04-02-01-02-04.wav,03-01-04-02-01-02-04.wav,03-01-04-02-01-02-04,ravdess,english,monologue,acted_controlled,sad,sad,5,4,4,female,all,monologue,sad,sad,False,3.0,1.0,4.0,2.0,1.0,2.0,4.0,,True,train,60327,64000,3.7704375,4.0,False,True,0,60327,0,3673,0.0,0.2295625,reflect
heldout_emodb,ravdess,train,source_train,utt_000868,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-04-02-02-01-04.wav,03-01-04-02-02-01-04.wav,03-01-04-02-02-01-04,ravdess,english,monologue,acted_controlled,sad,sad,5,4,4,female,all,monologue,sad,sad,False,3.0,1.0,4.0,2.0,2.0,1.0,4.0,,True,train,60327,64000,3.7704375,4.0,False,True,0,60327,0,3673,0.0,0.2295625,reflect
heldout_emodb,ravdess,train,source_train,utt_000869,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-04-02-02-02-04.wav,03-01-04-02-02-02-04.wav,03-01-04-02-02-02-04,ravdess,english,monologue,acted_controlled,sad,sad,5,4,4,female,all,monologue,sad,sad,False,3.0,1.0,4.0,2.0,2.0,2.0,4.0,,True,train,60327,64000,3.7704375,4.0,False,True,0,60327,0,3673,0.0,0.2295625,reflect
heldout_emodb,ravdess,train,source_train,utt_000870,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-05-01-01-01-04.wav,03-01-05-01-01-01-04.wav,03-01-05-01-01-01-04,ravdess,english,monologue,acted_controlled,angry,angry,0,4,4,female,all,monologue,angry,angry,False,3.0,1.0,5.0,1.0,1.0,1.0,4.0,,True,train,59260,64000,3.70375,4.0,False,True,0,59260,0,4740,0.0,0.29625,reflect
heldout_emodb,ravdess,train,source_train,utt_000871,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-05-01-01-02-04.wav,03-01-05-01-01-02-04.wav,03-01-05-01-01-02-04,ravdess,english,monologue,acted_controlled,angry,angry,0,4,4,female,all,monologue,angry,angry,False,3.0,1.0,5.0,1.0,1.0,2.0,4.0,,True,train,57658,64000,3.603625,4.0,False,True,0,57658,0,6342,0.0,0.396375,reflect
